Organism	Element ID	Element Description	Promoter	Transgenesis	Stage	Expression	Tissues	Genome Assembly	Element Coordinates
Human	hs73.0	reference	Hsp68	random	e11.5	positive	Neural tube	hg38	chr16:51542814-51544190
Human	hs74.0	reference	Hsp68	random	e11.5	positive	Midbrain, Neural tube	hg38	chr16:51526285-51527014
Human	hs75.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:51355393-51356799
Human	hs76.0	reference	Hsp68	random	e11.5	positive	Midbrain, Neural tube	hg38	chr16:51197210-51198451
Human	hs77.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:51095296-51096395
Human	hs78.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:51072237-51073198
Human	hs79.0	reference	Hsp68	random	e11.5	positive	Hindbrain, Midbrain, Neural tube	hg38	chr16:51022404-51023681
Human	hs80.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:51008342-51009204
Human	hs81.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:50976779-50977697
Human	hs82.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:50948118-50948778
Human	hs83.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:50943117-50944272
Human	hs84.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:50840952-50841798
Human	hs85.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:50814444-50815745
Human	hs86.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:31721740-31723283
Human	hs87.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:7708527-7709861
Human	hs88.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:7368979-7369829
Human	hs90.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:6498844-6500063
Human	hs91.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:7381989-7383155
Human	hs92.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:7836535-7838031
Human	hs93.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:8083048-8084287
Human	hs94.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:8381305-8382556
Human	hs95.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:17002495-17003396
Human	hs96.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:17651251-17652556
Human	hs97.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:18146391-18147363
Human	hs98.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:22672803-22673961
Human	hs99.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:25747898-25749208
Human	hs100.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:26214892-26216026
Human	hs101.0	reference	Hsp68	random	e11.5	positive	Hindbrain	hg38	chr16:48878908-48880233
Human	hs102.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:59595841-59597350
Human	hs103.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:60649821-60651282
Human	hs104.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:61209262-61210530
Human	hs105.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:62908659-62910117
Human	hs106.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:64617641-64618991
Human	hs107.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:8188187-8189785
Human	hs108.0	reference	Hsp68	random	e11.5	positive	Limb	hg38	chr16:72370634-72373692
Human	hs109.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:73318413-73320686
Human	hs110.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr7:20963661-20965131
Human	hs110.0	reference	Shh	targeted (H11)	e11.5	positive	Forebrain	hg38	chr7:20963661-20965131
Human	hs110.1	2% mutagenesis	Shh	targeted (H11)	e11.5	allelic		hg38	chr7:20963661-20965131
Human	hs110.2	5% mutagenesis 1	Shh	targeted (H11)	e11.5	allelic		hg38	chr7:20963661-20965131
Human	hs110.3	5% mutagenesis 2	Shh	targeted (H11)	e11.5	allelic		hg38	chr7:20963661-20965131
Human	hs111.0	reference	Hsp68	random	e11.5	positive	Forebrain, Neural tube	hg38	chr7:42152129-42154039
Human	hs111.0	reference	Shh	targeted (H11)	e11.5	positive	Forebrain, Neural tube	hg38	chr7:42152129-42154039
Human	hs111.0	reference	Shh	targeted (H11)	e14.5	positive	Forebrain, Neural tube	hg38	chr7:42152129-42154039
Human	hs111.1	5% mutagenesis (lowest conservation)	Shh	targeted (H11)	e11.5	allelic		hg38	chr7:42152129-42154039
Human	hs111.2	5% mutagenesis 1	Shh	targeted (H11)	e11.5	allelic		hg38	chr7:42152129-42154039
Human	hs111.3	5% mutagenesis 2	Shh	targeted (H11)	e11.5	allelic		hg38	chr7:42152129-42154039
Human	hs111.4	20% mutagenesis	Shh	targeted (H11)	e11.5	allelic		hg38	chr7:42152129-42154039
Human	hs111.4	20% mutagenesis	Shh	targeted (H11)	e14.5	allelic		hg38	chr7:42152129-42154039
Human	hs111.6	no ultraconserved core (donut)	Shh	targeted (H11)	e11.5	allelic		hg38	chr7:42152129-42154039
Human	hs112.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr9:973435-975288
Human	hs113.0	reference	Hsp68	random	e11.5	positive	Dorsal root ganglion	hg38	chr11:32175944-32177188
Human	hs116.0	reference	Hsp68	random	e12.5	negative		hg38	chrX:24804486-24806506
Human	hs117.0	reference	Hsp68	random	e12.5	negative		hg38	chrX:24846114-24847616
Human	hs118.0	reference	Hsp68	random	e12.5	positive	Midbrain	hg38	chrX:24876218-24877967
Human	hs119.0	reference	Shh	targeted (H11)	e11.5	positive	Forebrain	hg38	chrX:24897265-24900155
Human	hs119.0	reference	Hsp68	random	e12.5	positive	Forebrain	hg38	chrX:24897265-24900155
Human	hs119.1	2% mutagenesis	Shh	targeted (H11)	e11.5	allelic		hg38	chrX:24897265-24900155
Human	hs119.2	5% mutagenesis 1	Shh	targeted (H11)	e11.5	allelic		hg38	chrX:24897265-24900155
Human	hs119.3	5% mutagenesis 2	Shh	targeted (H11)	e11.5	allelic		hg38	chrX:24897265-24900155
Human	hs120.0	reference	Hsp68	random	e12.5	negative		hg38	chrX:24927531-24929450
Human	hs121.0	reference	Shh	targeted (H11)	e11.5	positive	Forebrain	hg38	chrX:24989762-24991464
Human	hs121.0	reference	Hsp68	random	e12.5	positive	Forebrain	hg38	chrX:24989762-24991464
Human	hs121.0	reference	Shh	targeted (H11)	e14.5	positive	Forebrain	hg38	chrX:24989762-24991464
Human	hs121.1	5% mutagenesis (lowest conservation)	Shh	targeted (H11)	e11.5	allelic		hg38	chrX:24989762-24991464
Human	hs121.2	5% mutagenesis 1	Hsp68	random	e11.5	positive	Forebrain	hg38	chrX:24989762-24991464
Human	hs121.2	5% mutagenesis 1	Shh	targeted (H11)	e11.5	allelic		hg38	chrX:24989762-24991464
Human	hs121.2	5% mutagenesis 1	Shh	targeted (H11)	e14.5	allelic		hg38	chrX:24989762-24991464
Human	hs121.3	5% mutagenesis 2	Shh	targeted (H11)	e11.5	allelic		hg38	chrX:24989762-24991464
Human	hs121.4	5% mutagenesis 3	Shh	targeted (H11)	e11.5	allelic		hg38	chrX:24989762-24991464
Human	hs121.5	5% mutagenesis 4	Shh	targeted (H11)	e11.5	allelic		hg38	chrX:24989762-24991464
Human	hs121.6	20% mutagenesis	Shh	targeted (H11)	e11.5	allelic		hg38	chrX:24989762-24991464
Human	hs121.7	C202T	Shh	targeted (H11)	e11.5	allelic		hg38	chrX:24989762-24991464
Human	hs122.0	reference	Shh	targeted (H11)	e11.5	positive	Forebrain	hg38	chrX:24998950-25000639
Human	hs122.0	reference	Hsp68	random	e12.5	positive	Forebrain	hg38	chrX:24998950-25000639
Human	hs122.1	2% mutagenesis	Shh	targeted (H11)	e11.5	allelic		hg38	chrX:24998950-25000639
Human	hs122.2	5% mutagenesis (lowest conservation)	Shh	targeted (H11)	e11.5	allelic		hg38	chrX:24998950-25000639
Human	hs122.3	5% mutagenesis 1	Hsp68	random	e11.5	negative		hg38	chrX:24998950-25000639
Human	hs122.3	5% mutagenesis 1	Shh	targeted (H11)	e11.5	allelic		hg38	chrX:24998950-25000639
Human	hs122.4	5% mutagenesis 2	Shh	targeted (H11)	e11.5	allelic		hg38	chrX:24998950-25000639
Human	hs122.5	5% mutagenesis 3	Shh	targeted (H11)	e11.5	allelic		hg38	chrX:24998950-25000639
Human	hs122.6	20% mutagenesis	Hsp68	random	e11.5	negative		hg38	chrX:24998950-25000639
Human	hs122.6	20% mutagenesis	Shh	targeted (H11)	e11.5	allelic		hg38	chrX:24998950-25000639
Human	hs123.0	reference	Shh	targeted (H11)	e11.5	positive	Forebrain	hg38	chrX:25382107-25384217
Human	hs123.0	reference	Hsp68	random	e12.5	positive	Forebrain	hg38	chrX:25382107-25384217
Human	hs123.0	reference	Shh	targeted (H11)	e14.5	positive	Forebrain	hg38	chrX:25382107-25384217
Human	hs123.1	5% mutagenesis 1	Hsp68	random	e11.5	positive	Forebrain	hg38	chrX:25382107-25384217
Human	hs123.1	5% mutagenesis 1	Shh	targeted (H11)	e11.5	allelic		hg38	chrX:25382107-25384217
Human	hs123.1	5% mutagenesis 1	Shh	targeted (H11)	e14.5	allelic		hg38	chrX:25382107-25384217
Human	hs123.2	5% mutagenesis 2	Shh	targeted (H11)	e11.5	allelic		hg38	chrX:25382107-25384217
Human	hs123.3	20% mutagenesis	Shh	targeted (H11)	e11.5	allelic		hg38	chrX:25382107-25384217
Human	hs123.4	40% mutagenesis	Shh	targeted (H11)	e11.5	allelic		hg38	chrX:25382107-25384217
Human	hs123.5	20% mutagenesis 2	Shh	targeted (H11)	e11.5	allelic		hg38	chrX:25382107-25384217
Human	hs124.0	reference	Shh	targeted (H11)	e11.5	positive	Neural tube	hg38	chr16:49060555-49061331
Human	hs124.0	reference	Hsp68	random	e12.5	positive	Neural tube	hg38	chr16:49060555-49061331
Human	hs124.0	reference	Shh	targeted (H11)	e12.5	positive	Neural tube	hg38	chr16:49060555-49061331
Human	hs124.1	2% mutagenesis	Shh	targeted (H11)	e12.5	allelic		hg38	chr16:49060555-49061331
Human	hs124.2	5% mutagenesis 1	Shh	targeted (H11)	e11.5	allelic		hg38	chr16:49060555-49061331
Human	hs124.2	5% mutagenesis 1	Shh	targeted (H11)	e12.5	allelic		hg38	chr16:49060555-49061331
Human	hs124.3	5% mutagenesis 2	Shh	targeted (H11)	e12.5	allelic		hg38	chr16:49060555-49061331
Human	hs124.4	20% mutagenesis	Shh	targeted (H11)	e11.5	allelic		hg38	chr16:49060555-49061331
Human	hs124.4	20% mutagenesis	Shh	targeted (H11)	e12.5	allelic		hg38	chr16:49060555-49061331
Human	hs125.0	reference	Hsp68	random	e12.5	negative		hg38	chr16:59541082-59542081
Human	hs126.0	reference	Hsp68	random	e12.5	positive	Limb	hg38	chr13:70769477-70770736
Human	hs128.0	reference	Hsp68	random	e12.5	negative		hg38	chr13:71148326-71150830
Human	hs129.0	reference	Hsp68	random	e12.5	positive	Eye	hg38	chr13:71200716-71201236
Human	hs131.0	reference	Hsp68	random	e12.5	positive	Eye	hg38	chr13:72197133-72199738
Human	hs132.0	reference	Hsp68	random	e12.5	negative		hg38	chr13:72432003-72432838
Human	hs133.0	reference	Hsp68	random	e12.5	negative		hg38	chr13:72493463-72494242
Human	hs134.0	reference	Hsp68	random	e12.5	negative		hg38	chr13:72504429-72505745
Human	hs135.0	reference	Hsp68	random	e11.5	negative		hg38	chr13:72574916-72575890
Human	hs135.0	reference	Hsp68	random	e13.5	positive	Eye	hg38	chr13:72574916-72575890
Human	hs136.0	reference	Hsp68	random	e12.5	negative		hg38	chr13:71219290-71221197
Human	hs137.0	reference	Hsp68	random	e12.5	positive	Hindbrain	hg38	chr13:71726717-71728802
Human	hs138.0	reference	Hsp68	random	e12.5	positive	Cranial nerve, Eye, Forebrain, Hindbrain, Neural tube	hg38	chr13:71851655-71854203
Human	hs138.1	reference 2	Shh	targeted (H11)	e11.5	positive	Cranial nerve, Facial mesenchyme, Forebrain, Hindbrain, Midbrain, Neural tube, Pancreas	hg38	chr13:71851655-71854203
Human	hs139.0	reference	Hsp68	random	e12.5	positive	Eye	hg38	chr13:72093710-72096060
Human	hs140.0	reference	Hsp68	random	e12.5	negative		hg38	chr13:72119538-72121154
Human	hs141.0	reference	Hsp68	random	e12.5	positive	Dorsal root ganglion, Eye	hg38	chr13:72426945-72428915
Human	hs142.0	reference	Hsp68	random	e12.5	positive	Limb	hg38	chr13:72507309-72509616
Human	hs143.0	reference	Hsp68	random	e12.5	negative		hg38	chr13:72512874-72514683
Human	hs144.0	reference	Hsp68	random	e12.5	negative		hg38	chr13:72650262-72651768
Human	hs145.0	reference	Hsp68	random	e12.5	positive	Eye, Forebrain, Midbrain	hg38	chrX:25000754-25002415
Human	hs148.0	reference	Hsp68	random	e12.5	negative		hg38	chr2:44839613-44843485
Human	hs149.0	reference	Hsp68	random	e12.5	positive	Midbrain	hg38	chr2:44879788-44880514
Human	hs150.0	reference	Hsp68	random	e12.5	negative		hg38	chr2:44900956-44902178
Human	hs151.0	reference	Hsp68	random	e11.5	positive	Dorsal root ganglion	hg38	chr16:55295377-55296848
Human	hs152.0	reference	Hsp68	random	e12.5	positive	Hindbrain, Midbrain, Neural tube	hg38	chr16:51113101-51114731
Human	hs153.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:52523494-52524873
Human	hs154.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:52208698-52210165
Human	hs155.0	reference	Hsp68	random	e11.5	positive	Hindbrain	hg38	chr16:53914289-53915934
Human	hs156.0	reference	Hsp68	random	e12.5	positive	Branchial arch, Nose	hg38	chr16:53960146-53962031
Human	hs157.0	reference	Hsp68	random	e12.5	positive	Eye	hg38	chr16:53952718-53954281
Human	hs159.0	reference	Hsp68	random	e12.5	negative		hg38	chr16:79347629-79348839
Human	hs160.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:51819686-51821020
Human	hs161.0	reference	Hsp68	random	e11.5	positive	Hindbrain	hg38	chr16:52412138-52413325
Human	hs162.0	reference	Hsp68	random	e12.5	positive	Eye	hg38	chr16:50835781-50837187
Human	hs163.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:78363958-78365023
Human	hs164.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:52517685-52518923
Human	hs165.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:72589766-72591318
Human	hs166.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:54215682-54217241
Human	hs167.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:54098739-54100045
Human	hs168.0	reference	Hsp68	random	e11.5	positive	Dorsal root ganglion	hg38	chr1:62977863-62979213
Human	hs169.0	reference	Hsp68	random	e11.5	positive	Neural tube	hg38	chr1:62998611-63000046
Human	hs170.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr2:163593634-163595248
Human	hs171.0	reference	Hsp68	random	e11.5	negative		hg38	chr4:4818006-4818833
Human	hs172.0	reference	Hsp68	random	e11.5	negative		hg38	chr5:77724780-77726683
Human	hs173.0	reference	Hsp68	random	e11.5	negative		hg38	chr7:1228196-1229533
Human	hs174.0	reference	Hsp68	random	e11.5	positive	Forebrain, Limb	hg38	chr1:87355938-87357399
Human	hs175.0	reference	Hsp68	random	e11.5	negative		hg38	chr1:216599074-216600116
Human	hs176.0	reference	Hsp68	random	e11.5	negative		hg38	chr13:72364779-72366427
Human	hs177.0	reference	Hsp68	random	e11.5	negative		hg38	chr17:37090335-37091543
Human	hs178.0	reference	Hsp68	random	e11.5	negative		hg38	chr15:67786945-67788375
Human	hs180.0	reference	Hsp68	random	e11.5	negative		hg38	chr5:3226007-3227370
Human	hs181.0	reference	Hsp68	random	e11.5	positive	Midbrain	hg38	chr15:36948604-36950297
Human	hs182.0	reference	Hsp68	random	e11.5	negative		hg38	chr13:71681704-71682907
Human	hs183.0	reference	Hsp68	random	e11.5	negative		hg38	chr11:8253590-8254788
Human	hs184.0	reference	Hsp68	random	e11.5	negative		hg38	chr15:96848408-96849771
Human	hs185.0	reference	Hsp68	random	e11.5	negative		hg38	chr9:125643868-125645374
Human	hs186.0	reference	Hsp68	random	e11.5	positive	Midbrain	hg38	chr9:126436121-126438460
Human	hs187.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr3:71241267-71243433
Human	hs188.0	reference	Hsp68	random	e11.5	positive	Eye	hg38	chr13:71771848-71774098
Human	hs189.0	reference	Hsp68	random	e11.5	positive	Neural tube	hg38	chr13:94966262-94967596
Human	hs190.0	reference	Hsp68	random	e11.5	negative		hg38	chr7:115673184-115675002
Human	hs191.0	reference	Hsp68	random	e11.5	positive	Hindbrain	hg38	chr5:91741071-91743082
Human	hs192.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr3:181055851-181058014
Human	hs194.0	reference	Hsp68	random	e11.5	positive	Midbrain	hg38	chr1:50568874-50570617
Human	hs194.0	reference	Shh	targeted (H11)	e11.5	positive	Midbrain	hg38	chr1:50568874-50570617
Human	hs194.1	5% mutagenesis	Shh	targeted (H11)	e11.5	allelic		hg38	chr1:50568874-50570617
Human	hs194.2	no ultraconserved core (donut)	Shh	targeted (H11)	e11.5	allelic		hg38	chr1:50568874-50570617
Human	hs195.0	reference	Hsp68	random	e11.5	positive	Midbrain	hg38	chr8:105321306-105322631
Human	hs196.0	reference	Hsp68	random	e11.5	negative		hg38	chr9:968801-970093
Human	hs197.0	reference	Hsp68	random	e11.5	negative		hg38	chr1:50633173-50634241
Human	hs198.0	reference	Hsp68	random	e11.5	negative		hg38	chr11:31763877-31765678
Human	hs200.0	reference	Hsp68	random	e11.5	positive	Forebrain, Limb	hg38	chr1:50699523-50701114
Human	hs200.0	reference	Shh	targeted (H11)	e11.5	positive	Forebrain	hg38	chr1:50699523-50701114
Human	hs200.1	reference 2	Shh	targeted (H11)	e14.5	positive	Forebrain, Neural tube	hg38	chr1:50699523-50701114
Human	hs200.2	5% mutagenesis 1	Shh	targeted (H11)	e11.5	allelic		hg38	chr1:50699523-50701114
Human	hs200.2	5% mutagenesis 1	Shh	targeted (H11)	e14.5	allelic		hg38	chr1:50699523-50701114
Human	hs200.3	5% mutagenesis 2	Shh	targeted (H11)	e11.5	allelic		hg38	chr1:50699523-50701114
Human	hs200.4	20% mutagenesis	Shh	targeted (H11)	e11.5	allelic		hg38	chr1:50699523-50701114
Human	hs200.5	no ultraconserved core (donut)	Shh	targeted (H11)	e11.5	allelic		hg38	chr1:50699523-50701114
Human	hs201.0	reference	Hsp68	random	e11.5	negative		hg38	chr1:163970467-163971400
Human	hs202.0	reference	Hsp68	random	e11.5	negative		hg38	chr1:164054010-164054977
Human	hs203.0	reference	Hsp68	random	e11.5	negative		hg38	chr1:164668342-164669800
Human	hs204.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr1:213424623-213426181
Human	hs205.0	reference	Hsp68	random	e11.5	positive	Genital tubercle	hg38	chr2:66070397-66072080
Human	hs206.0	reference	Hsp68	random	e11.5	negative		hg38	chr3:70516095-70517701
Human	hs207.0	reference	Hsp68	random	e11.5	negative		hg38	chr3:70822169-70823806
Human	hs208.0	reference	Hsp68	random	e11.5	positive	Limb	hg38	chr3:137263868-137265333
Human	hs209.0	reference	Hsp68	random	e11.5	positive	Midbrain	hg38	chr3:137328706-137330429
Human	hs210.0	reference	Hsp68	random	e11.5	positive	Hindbrain	hg38	chr3:137348783-137350083
Human	hs211.0	reference	Hsp68	random	e11.5	negative		hg38	chr3:137406333-137408135
Human	hs212.0	reference	Hsp68	random	e11.5	negative		hg38	chr3:147312446-147313983
Human	hs213.0	reference	Hsp68	random	e11.5	positive	Limb	hg38	chr3:147331753-147333313
Human	hs214.0	reference	Hsp68	random	e11.5	negative		hg38	chr1:243732497-243733166
Human	hs215.0	reference	Hsp68	random	e11.5	positive	Cranial nerve, Dorsal root ganglion, Hindbrain, Midbrain, Trigeminal V (ganglion, cranial)	hg38	chr5:51039216-51040809
Human	hs215.0	reference	Shh	targeted (H11)	e11.5	positive	Cranial nerve, Dorsal root ganglion, Hindbrain, Midbrain, Trigeminal V (ganglion, cranial)	hg38	chr5:51039216-51040809
Human	hs215.1	2% mutagenesis	Shh	targeted (H11)	e11.5	allelic		hg38	chr5:51039216-51040809
Human	hs215.2	5% mutagenesis 1	Shh	targeted (H11)	e11.5	allelic		hg38	chr5:51039216-51040809
Human	hs215.3	5% mutagenesis 2	Shh	targeted (H11)	e11.5	allelic		hg38	chr5:51039216-51040809
Human	hs216.0	reference	Hsp68	random	e11.5	negative		hg38	chr6:51108496-51109496
Human	hs217.0	reference	Hsp68	random	e11.5	positive	Hindbrain, Midbrain	hg38	chr6:51283874-51284912
Human	hs218.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr7:114416792-114418592
Human	hs218.0	reference	Shh	targeted (H11)	e11.5	positive	Forebrain	hg38	chr7:114416792-114418592
Human	hs218.1	5% mutagenesis	Hsp68	random	e11.5	allelic		hg38	chr7:114416792-114418592
Human	hs218.1	5% mutagenesis	Shh	targeted (H11)	e11.5	allelic		hg38	chr7:114416792-114418592
Human	hs218.2	20% mutagenesis	Hsp68	random	e11.5	allelic		hg38	chr7:114416792-114418592
Human	hs219.0	reference	Hsp68	random	e11.5	negative		hg38	chr7:114422564-114423864
Human	hs220.0	reference	Hsp68	random	e11.5	negative		hg38	chr7:114430727-114433211
Human	hs221.0	reference	Hsp68	random	e11.5	negative		hg38	chr7:114568900-114570255
